"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"42","CZE","Czech Rep.","Europe",87.6,56.2,2.6,5.2478,0.2428,5340.33333333333,0.498666666666667,6636,0.62,NA,NA,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,9002,317,840.603,29.601,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"1","1","0",NA,"2","2","1","2","0","0","2","1","2","2","0","0",NA,"7352","227","58.33","58.33","66.43","66.43","68.59","68.59","62.88","62.88","100","100"
"43","DEU","Germany","Europe",2143.6,450,31,5.3708,0.3698,NA,NA,NA,NA,NA,NA,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,179002,8302,2136.471,99.088,NA,NA,"2","1","1","0","2","1","4","0","0",NA,"2","0","2","0","4","2","0","2","0","0","2","1","1","1","0","0",NA,"159119","6288","69.91","69.91","67.38","67.38","68.27","68.27","64.77","64.77","87.5","87.5"
"44","DJI","Djibouti","Africa",32.4,128,1,129.5542,1.0122,NA,NA,NA,NA,NA,59.26,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,2468,14,2497.971,14.17,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","1","1","0","0","0","2","1","3","2","0","0",NA,"2270","2","100","100","97.14","97.14","88.46","88.46","100","100","25","25"
"45","DMA","Dominica","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,NA,NA,NA,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,16,0,222.25,0,NA,NA,"3","1","2","1","2","1","4","1","0",NA,"2","1","2","1","4","0","1","0","0","0","2","1","3","2","0","0",NA,"16","0","85.19","77.78","79.29","79.29","74.36","74.36","87.88","81.82","0","0"
"46","DNK","Denmark","Europe",186,54,1.8,9.3228,0.311,8301,1.43275,9103.75,1.57175,NA,NA,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,11387,563,1965.919,97.2,NA,NA,"2","1","2","1","2","1","3","1","1","1","1","1","1","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"8445","561","74.07","74.07","80.48","80.48","77.56","77.56","75.76","75.76","87.5","87.5"
"47","DOM","Dominican Rep.","Latin America and the Caribbean",192.4,319.2,2.8,29.4252,0.2578,NA,NA,NA,NA,NA,NA,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,15073,460,1389.485,42.405,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","4","1","1","0","0","0","2","1","2","1","0","0",NA,"6135","278","97.22","97.22","97.14","97.14","80.13","80.13","90.15","90.15","25","25"
"48","DZA","Algeria","Africa",107.6,192.2,8.2,4.383,0.187,NA,NA,NA,NA,NA,83.8,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,8503,609,193.906,13.888,NA,NA,"3","1","2","1","2","1","4","0","2","1","2","0","2","0","3","0",NA,"1","0","0","2","1","0","0","0","0",NA,"3256","419","83.8","83.8","85.95","85.95","61.86","61.86","68.56","68.56","25","25"
"49","ECU","Ecuador","Latin America and the Caribbean",211,500.2,63,28.351,3.571,NA,NA,1565,0.0883333333333333,NA,NA,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,37355,3203,2117.263,181.544,NA,NA,"3","1","3","0","2","1","3","1","2","0","2","1","2","0","4","1","1","2","0","0","2","1","3","1","0","0",NA,"31881","576","86.11","86.11","85.24","85.24","82.69","82.69","84.09","84.09","75","75"
"50","EGY","Egypt","Africa",197.2,747.6,20.6,7.3052,0.2012,NA,NA,NA,NA,NA,84.26,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,17967,783,175.571,7.651,NA,NA,"3","1","2","1","2","1","1","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"4319","307","84.26","84.26","93.57","93.57","68.59","68.59","81.06","81.06","0","0"
"51","ESP","Spain","Europe",2297.8,590.75,-276.5,12.63525,-5.914,NA,NA,NA,NA,NA,NA,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,235400,26834,5034.779,573.931,NA,NA,"3","1","3","0","2","1","4","0","1","1","2","1","1","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"209910","23190","81.94","79.17","85.24","85.24","78.85","77.24","74.62","75.38","87.5","87.5"
"52","EST","Estonia","Europe",20,6,0.2,4.5232,0.1508,663.666666666667,0.500333333333333,910,0.685666666666667,NA,52.31,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,1824,65,1375.007,49,NA,NA,"3","1","2","1","2","1","4","0","0",NA,"2","1","0","1","2","0",NA,"2","0","0","2","1","2","0","0","0",NA,"1635","64","67.13","67.13","73.57","73.57","59.29","59.29","60.98","60.98","50","50"
"53","ETH","Ethiopia","Africa",2.2,53.2,0,0.4628,0,3798,0.033,3532,0.03075,NA,NA,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,655,5,5.697,0.043,NA,NA,"3","1","2","0","2","1","4","1","1","1","1","1","2","0","2","0",NA,"0","0","0","2","1","1","2","0","0",NA,"133","5","73.15","73.15","74.76","74.76","60.9","60.9","71.97","71.97","0","0"
"54","FIN","Finland","Europe",121.4,31.2,0.8,5.631,0.1442,1634.5,0.295,2665.5,0.4815,NA,60.19,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,6599,308,1191.001,55.588,NA,NA,"2","1","2","1","2","1","2","1","1","0","1","1","1","1","4","1","1","0","0","0","2","1","1","1","0","0",NA,"4475","306","65.74","65.74","75.71","75.71","55.77","55.77","61.36","61.36","25","25"
"55","FRA","France","Europe",1891.4,286.8,60,4.394,0.9194,NA,NA,NA,NA,NA,76.85,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,145279,28432,2225.696,435.583,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","2","1","2","0","0","2","1","1","1","0","0",NA,"124114","22614","90.74","76.85","92.38","85.24","84.62","81.41","81.82","78.03","100","100"
"56","GAB","Gabon","Africa",11.2,113.6,0.4,51.0396,0.1798,NA,NA,NA,NA,NA,NA,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,2135,14,959.237,6.29,NA,NA,"3","1","3","0","2","1","4","1","1","1","3","1","2","1","4","0",NA,"2","0","0","1","1","3","2","0","0",NA,"176","3","87.04","82.41","84.05","84.05","83.33","80.13","89.39","85.61","50","50"
"57","GBR","United Kingdom","Europe",4726.8,2578.2,242,37.9782,3.5646,80297,1.183,68733,1.012,NA,NA,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,261184,36914,3847.391,543.765,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","0","2","1","2","0","0","2","1","1","0","0","0",NA,"148377","23635","75.93","75.93","77.38","77.38","70.51","70.51","65.15","65.15","100","100"
"58","GEO","Georgia","Europe",10.8,3.6,0,0.9022,0,NA,NA,NA,NA,NA,87.9625,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,731,12,183.246,3.008,NA,NA,"3","1","2","1","2","1","4","1","2","1","3","1","2","1","4","1","0","1","0","0","2","1","2","2","0","0",NA,"582","12","96.3","96.3","93.57","93.57","85.26","85.26","93.94","93.94","37.5","37.5"
"59","GHA","Ghana","Africa",47.4,107.8,0.2,3.4694,0.0064,2235,0.072,2967,0.0955,NA,62.04,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,6808,32,219.097,1.03,NA,NA,"3","1","1","1","2","1","3","1","1","1","0",NA,"0",NA,"4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"5735","18","62.04","62.04","70.95","70.95","66.03","66.03","68.94","68.94","50","50"
"60","GIN","Guinea","Africa",74.8,82.4,0.4,6.2744,0.0304,NA,NA,NA,NA,NA,73.15,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,3275,20,249.376,1.523,NA,NA,"3","1","3","0","2","1","3","1","1","0","0",NA,"2","0","4","0",NA,"0","0","0","2","1","2","1","0","0",NA,"1586","7","73.15","73.15","79.29","79.29","59.62","59.62","70.45","70.45","0","0"
"61","GMB","Gambia","Africa",0,0.2,0,0.0828,0,NA,NA,NA,NA,NA,77.78,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,25,1,10.345,0.414,NA,NA,"3","1","3","1","2","1","3","1","1","1","1","1","1","1","4","0",NA,"0","0","0","2","1","3","1","0","0",NA,"23","1","78.7","78.7","87.62","87.62","60.9","60.9","71.97","71.97","0","0"
"62","GRC","Greece","Europe",52.2,6.4,1.2,0.6142,0.1152,3653,0.350666666666667,3539.5,0.3395,NA,NA,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,2882,172,276.502,16.502,NA,NA,"3","1","1","1","2","0","3","1","1","1","2","1","2","0","3","1","1","1","0","0","2","1","2","0","0","0",NA,"2506","151","84.26","68.52","85.95","72.38","71.15","60.26","75","62.12","50","50"
"63","GRL","Greenland","Europe",0,0.2,0,3.5228,0,NA,NA,NA,NA,NA,NA,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,12,0,211.372,0,NA,NA,"3","0","2","1","2","1","2","1","2","1","1","1","1","1","4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"11","0","75.93","75.93","85.24","85.24","67.95","67.95","80.3","80.3","0","0"
"64","GTM","Guatemala","Latin America and the Caribbean",35.8,299,2.8,16.6894,0.156,NA,NA,NA,NA,NA,NA,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,3760,59,209.873,3.293,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"473","16","96.3","96.3","97.14","97.14","91.03","91.03","93.94","93.94","75","75"
"65","GUM","Guam","Asia and the Pacific",1,0.2,0,1.185,0,NA,NA,NA,NA,NA,NA,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,166,5,983.511,29.624,NA,NA,"3","1","3","1","2","1","4","1","1","1","1","1","0",NA,"3","1","1","0","0","0","2","1","2","1","0","0",NA,"154","5","73.15","73.15","82.38","82.38","63.46","63.46","70.45","70.45","25","25"
"66","GUY","Guyana","Latin America and the Caribbean",1.6,2.4,0.2,3.0514,0.2542,NA,NA,NA,NA,NA,NA,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,137,11,174.176,13.985,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","0",NA,"1","0","0","2","1","1","2",NA,"0",NA,"82","10","90.74","90.74","92.38","92.38","76.92","76.92","86.36","86.36","25","25"
"67","HND","Honduras","Latin America and the Caribbean",26.6,217.8,6.2,21.9896,0.6262,NA,NA,NA,NA,NA,NA,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,4189,182,422.934,18.375,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"627","61","100","100","97.14","97.14","89.1","89.1","89.39","89.39","87.5","87.5"
"68","HRV","Croatia","Europe",27,2,0.8,0.4874,0.195,837,0.204,1142.5,0.2785,NA,NA,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,2244,100,546.615,24.359,NA,NA,"3","1","1","1","2","1","4","1","2","1","2","1","2","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"2243","95","89.81","59.26","88.81","65.48","88.46","67.31","88.64","63.64","87.5","87.5"
"69","HUN","Hungary","Europe",80.4,26,5.2,2.6914,0.5384,5138,0.531666666666667,4009,0.415,NA,NA,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,3771,499,390.359,51.654,NA,NA,"2","1","2","0","2","0","1","0","1","0","2","0","1","1","3","0",NA,"2","0","0","2","1","1","2","0","0",NA,"2500","272","56.02","56.02","64.52","64.52","56.73","56.73","57.95","57.95","50","50"
"70","IDN","Indonesia","Asia and the Pacific",369.4,712.2,29.8,2.6038,0.1088,4741,0.0173333333333333,5598.5,0.0205,NA,NA,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,22750,1391,83.174,5.085,NA,NA,"3","1","2","0","2","0","4","0","1","0","2","0","1","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"8607","720","70.83","70.83","72.86","72.86","59.29","59.29","70.08","70.08","0","0"
"71","IND","India","Asia and the Pacific",1579.2,6604.2,146.4,4.7858,0.1062,104417.75,0.07575,100949.25,0.07325,NA,79.17,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,145380,4167,105.347,3.02,NA,NA,"3","1","2","0","2","1","4","0","2","0","2","0","2","0","4","1","1","2","0","0","2","1","3","2","0","0",NA,"26496","824","81.94","81.94","80.48","80.48","83.65","83.65","85.23","85.23","75","75"
"72","IRL","Ireland","Europe",581.8,76.6,7,15.513,1.4176,NA,NA,NA,NA,NA,77.78,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,24698,1606,5001.827,325.246,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","1","1","2","2","1","2","0","0","2","1","1","1","0","0",NA,"18561","1265","85.19","85.19","87.86","87.86","80.77","80.77","77.27","77.27","100","100"
"73","IRN","Iran","Asia and the Pacific",1164.6,2155,53.6,25.657,0.6382,18218,0.217,15884.75,0.189,NA,55.56,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,137724,7451,1639.709,88.71,NA,NA,"3","1","2","0","2","0","1","1","2","0","1","1","2","0","0","1","0","2","0","0","1","1","0","0","0","0",NA,"89328","5650","56.48","56.48","64.29","64.29","48.72","48.72","46.21","46.21","62.5","62.5"
"74","IRQ","Iraq","West Asia",37.8,181.6,5.8,4.5148,0.1442,NA,NA,NA,NA,NA,82.41,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,4632,163,115.159,4.052,NA,NA,"3","1","2","0","2","1","4","1","1","1","2","1","2","1","4","0","1","0","0","0","2","1","2","0","0","0",NA,"1847","102","85.19","82.41","85.24","85.24","64.1","64.1","75.76","73.48","0","0"
"75","ISL","Iceland","Europe",3.4,0.2,0,0.586,0,274.5,0.8045,286.5,0.8395,NA,NA,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,1804,10,5286.447,29.304,NA,NA,"2","1","2","1","2","1","3","1","0",NA,"0",NA,"0",NA,"3","2","1","2","0","0","2","1","3","2","0","0",NA,"1802","10","53.7","53.7","58.57","58.57","67.95","67.95","62.12","62.12","100","100"
"76","ISR","Israel","Europe",317,12.8,0.4,1.4788,0.0464,NA,NA,NA,NA,NA,75,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,16734,281,1933.328,32.465,NA,NA,"2","1","2","1","2","1","3","1","1","1","2","1","2","0","4","1","1","2","0","0","2","1","1","2","0","0",NA,"16690","279","77.78","77.78","81.67","81.67","75.64","75.64","75.76","75.76","75","75"
"77","ITA","Italy","Europe",2824.6,558.8,109.4,9.2422,1.8094,59713.75,0.98775,63298.75,1.047,NA,63.89,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,230158,32877,3806.666,543.765,NA,NA,"3","1","1","1","2","1","4","1","0","1","1","1","2","1","3","1","1","1","0","0","2","1","2","2","0","0",NA,"195351","26384","62.96","62.96","65.24","65.24","64.1","64.1","66.67","66.67","50","50"
"78","JAM","Jamaica","Latin America and the Caribbean",16.4,5.4,0,1.8236,0,NA,NA,NA,NA,NA,80.56,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,556,9,187.764,3.039,NA,NA,"3","1","1","1","2","1","4","1","1","1","2","1","2","1","3","1","1","1","0","0","2","1","1","1","0","0",NA,"520","9","80.56","80.56","82.38","82.38","69.87","69.87","73.48","73.48","50","50"
"79","JOR","Jordan","West Asia",3.8,7.8,0,0.7644,0,NA,NA,NA,NA,NA,NA,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,711,9,69.684,0.882,NA,NA,"3","1","2","0","2","1","4","1","2","1","2","1","2","1","4","1","0","1","0","0","2","1","2","1","0","0",NA,"449","9","87.96","70.37","85.24","68.57","75.64","63.46","82.58","68.18","37.5","37.5"
"80","JPN","Japan","Asia and the Pacific",412.8,39.8,13.8,0.3148,0.1092,NA,NA,4000.75,0.0315,NA,40.74,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,16623,846,131.432,6.689,NA,NA,"3","0","1","1","1","1","0",NA,"0",NA,"1","1","1","1","3","1","1","0","0","0","2","1","1","1","0","0",NA,"13182","348","47.22","47.22","59.76","59.76","42.95","42.95","46.21","46.21","25","25"
"81","KAZ","Kazakhstan","Asia and the Pacific",140.6,347,0,18.4804,0,20068,1.06875,18610.5,0.991,NA,NA,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,8969,35,477.666,1.864,NA,NA,"3","1","3","0","2","1","4","0","2","0","3","0","2","0","4","1","0","1","0","0","2","1","3","2","0","0",NA,"5571","25","89.35","89.35","85.24","85.24","83.01","83.01","91.29","91.29","37.5","37.5"
"82","KEN","Kenya","Africa",12.4,51.4,0.4,0.956,0.0076,2639,0.049,2304.5,0.04275,NA,93.52,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,1286,52,23.916,0.967,NA,NA,"3","1","2","1","2","1","4","1","2","0","3","1","2","1","4","1","1","1","0","0","2","1","1","1","0","0",NA,"343","50","93.52","93.52","88.81","88.81","78.85","78.85","84.09","84.09","50","50"
"83","KGZ","Kyrgyzstan","Asia and the Pacific",18.4,31,0.4,4.7516,0.0614,NA,NA,NA,NA,NA,NA,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,1468,16,225.009,2.452,NA,NA,"3","1","2","0","2","1","4","0","2","0","2","0","2","0","4","1","1","1","0","0","2","1","1","1","0","0",NA,"746","14","84.72","84.72","85.24","85.24","72.76","72.76","76.89","76.89","50","50"
"84","KOR","S. Korea","Asia and the Pacific",9,20.6,1,0.402,0.0196,8006.33333333333,0.156,10546.75,0.20575,NA,NA,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,11225,269,218.942,5.247,NA,NA,"3","1","2","1","1","1","0",NA,"0",NA,"0",NA,"0",NA,"3","1","1","1","0","0","2","1","3","2","0","0",NA,"10728","256","43.52","43.52","57.38","57.38","53.21","53.21","53.79","53.79","50","50"
"85","KWT","Kuwait","West Asia",179.4,879.8,8.2,206.015,1.92,NA,NA,NA,NA,NA,100,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,21967,165,5143.818,38.637,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","1","0","1","0","0","2","1","2","2","0","0",NA,"2892","40","100","100","97.14","97.14","87.82","87.82","96.97","96.97","37.5","37.5"
"86","LAO","Laos","Asia and the Pacific",0,0,0,0,0,NA,NA,NA,NA,NA,NA,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,19,0,2.611,0,NA,NA,"3","1","2","1","2","1","4","1","2","0","0","1","2","1","4","1","0","0","0","0","2","1","1","2","0","0",NA,"19","0","96.3","62.96","97.14","67.38","65.38","55.77","90.91","63.64","12.5","12.5"
"87","LBN","Lebanon","West Asia",5.4,31.6,0,4.63,0,NA,NA,NA,NA,NA,NA,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,1119,26,163.945,3.809,NA,NA,"3","1","2","1","2","1","4","1","1","1","1","1","1","1","4","0",NA,"1","0","0","2","1","1","1","0","0",NA,"704","26","77.78","77.78","84.05","84.05","64.1","64.1","71.21","71.21","25","25"
"88","LBR","Liberia","Africa",4.2,5.4,0.6,1.0674,0.1186,NA,NA,NA,NA,NA,NA,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,265,26,52.396,5.141,NA,NA,"3","1","3","1","2","1","4","1","0",NA,"2","1","2","0","3","0",NA,"0","0","0","2","1","1","2",NA,NA,NA,"141","20","79.63","79.63","76.43","76.43","65.38","65.38","77.27","77.27","0","0"
"89","LBY","Libya","Africa",2,1.2,0,0.1748,0,NA,NA,NA,NA,NA,NA,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,75,3,10.915,0.437,NA,NA,"3","1","3","0","2","1","4","1","2","1","3","1","2","1","4","0",NA,"0","0","0","2","1","2","1","0","0",NA,"64","3","98.15","98.15","93.57","93.57","76.92","76.92","90.91","90.91","0","0"
"90","LKA","Sri Lanka","Asia and the Pacific",31.6,30.8,0.2,1.4384,0.0094,NA,NA,NA,NA,NA,NA,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,1182,10,55.199,0.467,NA,NA,"3","1","2","1","2","1","0","1","1","1","3","1","2","1","4","0",NA,"2","0","0","2","1","2","2","0","0",NA,"462","9","79.63","79.63","88.81","78.1","75.64","75.64","80.3","80.3","50","50"
"91","LTU","Lithuania","Europe",15.2,11.6,0.6,4.261,0.2204,5839,2.145,5679.75,2.08625,NA,78.7,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,1635,63,600.597,23.142,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","1","1","3","2","1","1","0","0","2","1",NA,NA,NA,NA,NA,"1426","46","85.19","85.19","88.81","88.81",NA,NA,NA,NA,"75","75"
"92","LUX","Luxembourg","Europe",30.6,4.4,0.2,7.0294,0.3196,1002.5,1.6015,844,1.34833333333333,NA,53.24,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,3993,110,6378.839,175.726,NA,NA,"3","1","3","1","2","1","4","1","1","1","1","1","1","1","0","2","1","2","0","0","2","1","1","2","0","0",NA,"3711","109","70.37","70.37","76.19","76.19","74.36","74.36","69.7","69.7","100","100"
"93","MAR","Morocco","Africa",170.2,79.8,1.2,2.1618,0.0324,NA,NA,NA,NA,NA,NA,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,7532,200,204.061,5.419,NA,NA,"3","1","3","1","2","1","2","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"3897","188","90.74","90.74","97.14","97.14","87.18","87.18","89.39","89.39","75","75"
"94","MDA","Moldova","Europe",151.2,118.8,6.6,29.45,1.636,NA,NA,NA,NA,NA,80.56,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,7147,261,1771.707,64.701,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","2","0","4","1","0","1","0","0","1","1","2","2","0","0",NA,"3304","94","80.56","80.56","84.05","84.05","74.36","74.36","81.06","81.06","37.5","37.5"
"95","MDG","Madagascar","Africa",0.6,34.2,0,1.2352,0,NA,NA,NA,NA,NA,NA,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,542,2,19.573,0.072,NA,NA,"0","0","1","0","2","1","3","1","1","0","1","1","2","0","4","0","1","0","0","0","2","1","1","1","0","0",NA,"128","0","58.33","58.33","57.86","57.86","54.49","50","55.3","55.3","0","0"
"96","MEX","Mexico","Latin America and the Caribbean",1014,2902.2,308.6,22.5098,2.3938,1811,0.014,3864,0.03,NA,82.41,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,71105,7633,551.489,59.201,NA,NA,"3","1","3","1","2","1","3","1","1","0","2","1","2","1","3","0",NA,"0","0","0","2","1","1","1","0","0",NA,"13842","1305","82.41","82.41","84.76","84.76","63.46","63.46","75","75","0","0"
"97","MLI","Mali","Africa",24.8,25.6,2.4,1.2642,0.1186,NA,NA,NA,NA,NA,56.48,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,1059,67,52.294,3.309,NA,NA,"3","1","1","1","2","1","3","1","0",NA,"0","1","0","1","4","1","1","1","0","0","2","1","1","2","0","0",NA,"370","26","56.48","56.48","61.43","61.43","57.05","57.05","58.33","58.33","50","50"
"98","MMR","Myanmar","Asia and the Pacific",5.4,0.8,0,0.0148,0,485,0.009,637.25,0.01175,NA,80.56,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,203,6,3.731,0.11,NA,NA,"3","1","3","0","2","1","4","1","2","0","2","0","2","0","3","0",NA,"0",NA,"0","2","1","2","1","0","0",NA,"146","6","84.26","80.56","81.19","77.62","67.31","64.74","79.55","76.52","0","0"
"99","MNG","Mongolia","Asia and the Pacific",0.8,0.2,0,0.061,0,NA,NA,NA,NA,NA,NA,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,141,0,43.01,0,NA,NA,"3","1","2","1","2","1","4","1","1","0","0","0","0","0","4","0",NA,"2","0","0","2","1","1","2","0","0",NA,"38","0","65.74","65.74","69.76","69.76","63.46","63.46","65.91","65.91","50","50"
