"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"12","BEL","Belgium","Europe",1068.4,271.8,32.4,23.452,2.7954,7578.5,0.6535,9697,0.837,NA,74.07,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,57342,9312,4947.705,803.478,NA,NA,"2","1","3","1","2","1","4","1","0","1","2","1","2","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"45325","6917","81.48","81.48","79.29","79.29","76.28","76.28","74.24","74.24","87.5","87.5"
"13","BEN","Benin","Africa",0.8,12.2,0.2,1.0062,0.0164,NA,NA,NA,NA,NA,NA,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,191,3,15.755,0.247,NA,NA,"3","1","0",NA,"2","1","4","0","1","0","0",NA,"2","0","2","0",NA,"0","0","0","2","1","2","2","0","0",NA,"339","2","59.72","59.72","62.86","62.86","54.17","54.17","64.02","64.02","0","0"
"14","BFA","Burkina Faso","Africa",9.6,6.4,0,0.3064,0,NA,NA,NA,NA,NA,NA,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,841,52,40.233,2.488,NA,NA,"3","1","2","1","2","1","3","1","0","1","2","1","0","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"773","51","67.59","60.19","93.57","65","57.05","51.92","67.42","61.36","0","0"
"15","BGD","Bangladesh","Asia and the Pacific",410,1769.4,23,10.7438,0.1398,9730,0.059,9525.75,0.05775,NA,NA,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,35585,501,216.073,3.042,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","2","1","0","0",NA,"4998","140","89.81","89.81","90.71","90.71","71.15","71.15","84.09","84.09","0","0"
"16","BGR","Bulgaria","Europe",63.6,20.4,2,2.936,0.288,978,0.141,1219.25,0.17525,NA,NA,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,2433,130,350.15,18.709,NA,NA,"3","1","1","1","2","1","4","1","0",NA,"1","1","0","1","3","2","0","2","0","0","2","1","1","2","0","0",NA,"2408","58","73.15","73.15","72.86","72.86","70.51","70.51","67.42","67.42","87.5","87.5"
"17","BHR","Bahrain","West Asia",136.4,256.6,0.4,150.8008,0.2352,4901.66666666667,2.88066666666667,6365,3.7405,NA,NA,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,9171,14,5389.687,8.228,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","1","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"2589","8","81.48","81.48","85.24","85.24","82.69","82.69","81.82","81.82","87.5","87.5"
"18","BIH","Bosnia and Herz.","Europe",37,14.4,2.2,4.389,0.6706,NA,NA,NA,NA,NA,NA,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,2406,146,733.354,44.501,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","0","3","2","0","1","0","0","2","1","2","0","0","0",NA,"1588","62","90.74","90.74","90.71","90.71","77.56","77.56","80.3","80.3","62.5","62.5"
"19","BLR","Belarus","Europe",665.2,943.6,5,99.859,0.529,15614,1.652,14048,1.4865,NA,13.89,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,37144,204,3930.864,21.589,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"3","1","0","0","0","0","1","1","3","2","0","0",NA,"9590","67","13.89","13.89","18.1","18.1","26.92","26.92","29.55","29.55","12.5","12.5"
"20","BLZ","Belize","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,NA,NA,NA,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,18,2,45.269,5.03,NA,NA,"3","1","1","0","2","1","3","1","1","0","2","0","2","0","4","1","1","0","0","0","2","1","1","2","0","0",NA,"18","2","71.3","71.3","72.14","72.14","63.46","63.46","70.45","70.45","25","25"
"21","BMU","Bermuda","Latin America and the Caribbean",2.6,1.6,0,25.6934,0,NA,NA,NA,NA,NA,NA,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,133,9,2135.757,144.525,NA,NA,"3","1","2","1","1","1","4","1","1","1","1","1","1","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"118","9","72.22","72.22","84.05","84.05","60.26","60.26","71.21","71.21","0","0"
