"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"84","LAO","Laos","Asia and the Pacific",0.6,0,0,0,0,NA,NA,NA,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,19,0,2.611,0,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","0","0","0","0","0","2","1",NA,"0","0","0",NA,"19","0","97.35","97.35","97.14","97.14"
"85","LBN","Lebanon","West Asia",9.8,9.2,0,1.348,0,NA,NA,NA,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,891,26,130.541,3.809,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","1","1","4","0",NA,"1","0","0","2","1","1","1","0","0",NA,"677","21","89.41","89.41","88.81","88.81"
"86","LBR","Liberia","Africa",4.4,4,0,0.791,0,NA,NA,NA,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,219,20,43.301,3.954,NA,NA,"3","1","3","1","2","1","4","1","0",NA,"2","1","2","0","3",NA,NA,NA,NA,NA,"2","1","1","2",NA,NA,NA,"101","20","80.29","80.29","76.43","76.43"
"87","LBY","Libya","Africa",4.8,0,0,0,0,NA,NA,NA,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,64,3,9.314,0.437,NA,NA,"2","0","3","0","2","1","4","1","2","1","3","1","2","1","4","0",NA,"0",NA,"0","2","1","1","1","0","0",NA,"64","3","79.9","79.9","72.14","72.14"
"88","LKA","Sri Lanka","Asia and the Pacific",8,14.4,0,0.6724,0,NA,NA,NA,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,935,9,43.665,0.42,NA,NA,"3","1","2","1","2","1","0","1","1","1","3","1","2","1","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"237","7","82.27","82.27","88.81","88.81"
"89","LTU","Lithuania","Europe",18.4,8.8,0.8,3.2326,0.2938,7495,2.7532,NA,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,1523,54,559.455,19.836,224040,82.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1410","46",NA,NA,NA,NA
"90","LUX","Luxembourg","Europe",30,7.4,0.6,11.8216,0.9588,1143,1.5436,NA,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,3923,104,6267.013,166.141,60246,96.243,"3","1","3","1","2","1","4","1","1","1","1","1","1","1","0","2","1","2","0","0","2","1","1","2","0","0",NA,"3373","96","75.66","75.66","76.19","76.19"
"91","MAR","Morocco","Africa",115.2,117.8,0.4,3.1916,0.0108,NA,NA,NA,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,6652,190,180.219,5.148,NA,NA,"3","1","3","1","2","1","2","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"2024","188","93.38","93.38","97.14","97.14"
"92","MDA","Moldova","Europe",122.2,163.6,5.6,40.5558,1.3882,NA,NA,NA,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,5745,197,1424.158,48.835,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","2","0","4","1","0","1","0","0","1","1","1","1","0","0",NA,"2049","46","84.92","84.92","84.05","84.05"
"93","MDG","Madagascar","Africa",1.6,13.4,0,0.484,0,NA,NA,NA,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,238,0,8.595,0,NA,NA,"0","1","1","0","2","1","3","1","1","0","1","1","2","0","4","0","1","0","0","0","2","1","1","1","0","0",NA,"121","0","62.83","62.83","57.86","57.86"
"94","MEX","Mexico","Latin America and the Caribbean",400.6,2002,260.4,15.5276,2.0196,1918.33333333333,0.01125,NA,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,45032,4767,349.267,36.973,NA,NA,"3","1","3","1","2","1","3","1","1","0","2","1","2","1","3","0",NA,"0","0","0","2","1","1","1","0","0",NA,"5847","449","85.45","85.45","84.76","84.76"
"95","MLI","Mali","Africa",12.2,20.4,1.6,1.0074,0.079,NA,NA,NA,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,806,46,39.801,2.272,NA,NA,"3","1","0",NA,"2","1","3","1","2","1","1","1","2","1","3","1","1","1","0","0","2","1","1","2","0","0",NA,"148","13","78.83","78.83","80","80"
"96","MMR","Myanmar","Asia and the Pacific",9.2,0.4,0,0.0072,0,391,0.007,NA,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,182,6,3.345,0.11,13634,0.251,"3","1","3","0","2","0","4","0","2","0","2","1","2","1","3","0",NA,"0","0","0","2","1","2","1","0","0",NA,"146","6","81.89","81.89","83.1","83.1"
"97","MNG","Mongolia","Asia and the Pacific",2.8,18.6,0,5.6738,0,NA,NA,NA,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,135,0,41.18,0,NA,NA,"3","1","2","1","2","1","4","1","1","0","2","1","0","0","4","0",NA,"2","0","0","2","1","1","2","0","0",NA,"38","0","76.45","76.45","80.48","80.48"
"98","MOZ","Mozambique","Africa",1.8,5.6,0,0.1792,0,NA,NA,NA,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,119,0,3.807,0,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"1","1","0",NA,"2","0",NA,"0","0","0","2","1","1","2","0","0",NA,"76","0","53.83","53.83","55.71","55.71"
