"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"119","PRT","Portugal","Europe",523.8,200.4,11,19.6536,1.0788,16854,1.653,NA,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,28583,1190,2803.16,116.704,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","1","1","3","1","1","2","0","0","2","1","3","1","0","0",NA,"25524","1007","86.64","86.64","85.95","85.95"
"120","PRY","Paraguay","Latin America and the Caribbean",8.2,9.2,0.2,1.29,0.028,NA,NA,NA,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,759,11,106.414,1.542,NA,NA,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"174","10","96.03","96.03","92.38","92.38"
"121","PSE","West Bank","Europe",5,1.4,0,0.2744,0,NA,NA,NA,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,554,4,108.597,0.784,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"547","2","97.35","97.35","97.14","97.14"
"122","QAT","Qatar","West Asia",239.8,1381,0,479.3374,0,4332,1.5036,NA,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,29425,14,10213.255,4.859,152704,53.003,"3","1","2","1","2","1","4","1","2","1","2","1","1","1","4","2","0","0","0","0","2","1","1","2","0","0",NA,"3711","10","90.74","90.74","90","90"
"123","ROU","Romania","Europe",349.8,215,20.8,11.1758,1.0812,7999.33333333333,0.415666666666667,NA,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,16437,1056,854.417,54.892,NA,NA,"3","1","2","1","2","1","4","1","2","0","2","1","2","0","4","2","0","2","0","0","2","1","3","1","0","0",NA,"7216","372","88.36","88.36","85.24","85.24"
"124","RUS","Russia","Europe",2514.6,10631,100.6,72.8478,0.6892,203915.4,1.3974,NA,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,262843,2418,1801.103,16.569,6656340,45.612,"3","1","3","1","2","1","4","1","1","1","3","0","2","1","4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"24490","198","92.86","92.86","92.38","92.38"
"125","RWA","Rwanda","Africa",3.6,0.6,0,0.0462,0,1086.8,0.084,NA,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,287,0,22.158,0,48239,3.724,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","0",NA,"1","0","0","2","1","3","2","0","0",NA,"147","0","100","100","97.14","97.14"
"126","SAU","Saudi Arabia","West Asia",442.2,2025.6,9.2,58.184,0.2646,16130.8,0.4634,NA,34813867,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,49176,292,1412.541,8.387,548023,15.742,"3","1","2","1","2","1","4","1","2","1","3","0","2","0","4","2","0","1","0","0","2","1","2","0","0","0",NA,"5862","79","92.2","92.2","93.57","93.57"
"127","SDN","Sudan","Africa",3.4,120.2,4.2,2.7412,0.0958,NA,NA,NA,43849269,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,1964,91,44.79,2.075,NA,NA,"3","1","1","1","2","1","3","1","2","1","2","0","2","0","4","0",NA,"0","0","0","2","1","2","1","0","0",NA,"32","5","83.73","83.73","85.24","85.24"
"128","SEN","Senegal","Africa",9.8,120.2,1.2,7.1788,0.0716,1025.6,0.0612,NA,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,2310,25,137.96,1.493,27618,1.649,NA,NA,NA,NA,"2","1","4","1",NA,NA,"0",NA,"2","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"314","9",NA,"18.25",NA,"14.29"
"129","SGP","Singapore","Asia and the Pacific",358,711,0.2,121.5312,0.0342,NA,NA,NA,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,26891,21,4596.483,3.59,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","2","1","1","2","0","0","2","1","2","2","0","0",NA,"11178","11","87.83","87.83","86.67","86.67"
"130","SLE","Sierra Leone","Africa",1,28,1.8,3.5102,0.2254,NA,NA,NA,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,447,27,56.036,3.385,NA,NA,"3","1","0","1","2","1","3","1","1","1","1","1","2","1","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"82","0","77.64","77.64","78.1","78.1"
"131","SLV","El Salvador","Latin America and the Caribbean",8.2,61.4,1.6,9.4664,0.2466,2085.66666666667,0.321666666666667,NA,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,1265,25,195.029,3.854,53412,8.235,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","4","1","1","1","0","0","2","1","3","0","0","0",NA,"298","8","96.03","96.03","92.38","92.38"
"132","SMR","San Marino","Europe",9.6,4.8,0,141.4342,0,NA,NA,NA,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,652,41,19211.503,1208.085,NA,NA,"3","1","1","1","2","1","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","2","2","0","0",NA,"513","41","92.06","92.06","90","90"
"133","SOM","Somalia","Africa",11.8,46,0.4,2.8944,0.0252,NA,NA,NA,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,1284,53,80.789,3.335,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"1","1","0",NA,"4","0",NA,"0",NA,"0","2","1","1","0","0","0",NA,"80","28","59.39","59.39","61.43","61.43"
"134","SRB","Serbia","Europe",353.6,64.8,2,9.5228,0.294,5828.4,0.8566,NA,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,10438,225,1533.963,33.066,174746,25.681,"3","1","2","1","2","1","4","1","2","1","3","1","2","0","4","1","0","1","0","0","2","1","1","2","0","0",NA,"4873","125","94.18","94.18","93.57","93.57"
"135","SSD","S. Sudan","Africa",0.2,16,0.8,1.4294,0.0714,NA,NA,NA,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,236,4,21.083,0.357,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","0","2","1","4","0",NA,"0","0","0","2","1","2","1","0","0",NA,"4","0","90.21","90.21","92.38","92.38"
"136","SUR","Suriname","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,10,1,17.046,1.705,NA,NA,"3","1","0",NA,"2","1","4","1","2","1","2","1","2","0","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"10","1","83.07","83.07","79.29","79.29"
"137","SVK","Slovakia","Europe",29.6,4.6,0.2,0.8424,0.0366,3868.2,0.7084,NA,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,1480,27,271.08,4.945,139986,25.64,"3","1","2","0","2","1","3","1","1","1","1","1","1","1","4",NA,NA,NA,"0",NA,"2","1","1","2","0","0",NA,"1455","26","78.96","78.96","80.48","80.48"
"138","SVN","Slovenia","Europe",17.6,1.6,0.2,0.7696,0.0962,1076.25,0.51775,NA,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,1465,103,704.689,49.545,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","2","1","3","1","1","2","0","0","2","1","2","1","0","0",NA,"1439","102","89.28","89.28","90.71","90.71"
"139","SWE","Sweden","Europe",448.4,577,84.2,57.1328,8.3374,NA,NA,NA,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,29207,3646,2891.991,361.016,NA,NA,"1","1","1","1","0",NA,"3","1","0",NA,"0",NA,"1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"11927","1203","47.35","47.35","58.1","58.1"
"140","SWZ","Swaziland","Africa",0.8,3.6,0,3.1032,0,NA,NA,NA,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,190,2,163.77,1.724,NA,NA,"3","1","0",NA,"2","1","3","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","3","1","0","0",NA,"16","1","81.48","81.48","80","80"
"141","SYC","Seychelles","Africa",0.2,0,0,0,0,NA,NA,NA,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,11,0,111.857,0,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","2","2","0","0",NA,"11","0","94.58","94.58","94.29","94.29"
"142","SYR","Syria","West Asia",2.8,0.6,0,0.0342,0,NA,NA,NA,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,50,3,2.857,0.171,NA,NA,"3","1","2","1","2","0","3","1","2","1","2","0","2","0","3","0",NA,"0","0","0","2","1","2",NA,NA,NA,NA,"42","3","80.43","80.43","83.1","83.1"
"143","TCD","Chad","Africa",3.2,21.2,3.4,1.2908,0.2072,NA,NA,NA,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,428,48,26.056,2.922,NA,NA,"3","1","3","1","2","1","1","1","2","1","2","0","2","1","4","0",NA,"2","0","0","2","1","1","0","0","0",NA,"33","0","88.23","88.23","97.14","97.14"
"144","THA","Thailand","Asia and the Pacific",30.8,2,0,0.0286,0,NA,NA,NA,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,3025,56,43.338,0.802,NA,NA,"3","1","3","0","2","1","3","1","2","0","1","1","2","0","4","2","1","2","0","0","2","1","1","2","0","0",NA,"2700","54","83.73","83.73","84.05","84.05"
"145","TTO","Trinidad and Tobago","Latin America and the Caribbean",1,0,0,0,0,NA,NA,NA,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,116,8,82.887,5.716,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","0","1","4","0","1","2","0","0","2","1","2","2","0","0",NA,"116","8","82.27","93.38","88.81","92.38"
"146","TUN","Tunisia","Africa",21.8,0.6,0,0.0508,0,1327.33333333333,0.112,NA,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,1035,45,87.574,3.808,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","3","1","1","2","0","0","2","1","1","1","0","0",NA,"1032","38","90.61","90.61","89.52","89.52"
"147","TUR","Turkey","Europe",4472.6,1560,53.8,18.4968,0.6378,37261,0.4418,NA,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,146457,4055,1736.526,48.08,1589625,18.848,"3","1","2","1","2","1","0",NA,"2","0","2","1","2","1","4","2","0","1","0",NA,"2","1","2","2","0","0",NA,"69392","1518","80.42","80.42","88.81","88.81"
"148","TWN","Taiwan","Asia and the Pacific",3,0,0.2,0,0.0084,307.5,0.01325,NA,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,440,7,18.474,0.294,NA,NA,"0",NA,"0",NA,"1","1","0",NA,"0",NA,"0",NA,"0",NA,"4","1","0","0","0","0","2","1","2","2","0","0",NA,"440","6","29.36","29.36","35.24","35.24"
"149","TZA","Tanzania","Africa",11.2,0,0,0,0,NA,NA,NA,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,509,21,8.521,0.352,NA,NA,"3","1","0",NA,"2","0","3","1","0",NA,"0",NA,"0",NA,"4","0",NA,"0","0","0","2","1","0","1","0","0",NA,"480","21","50.4","50.4","51.43","51.43"
"150","UGA","Uganda","Africa",0.4,16.4,0,0.3584,0,2067.25,0.045,NA,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,203,0,4.438,0,NA,NA,"3","1","3","1","2","1","3","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","1","1","0","0",NA,"55","0","92.59","92.59","94.29","94.29"
"151","UKR","Ukraine","Europe",391.6,419.6,18.4,9.5944,0.4208,7817.2,0.1788,NA,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,17330,483,396.261,11.044,220638,5.045,"3","1","2","1","2","1","4","1","2","1","1","1","2","1","4","1","0","1","0","0","2","1","1","1","0","0",NA,"9009","220","92.06","92.06","93.57","93.57"
"152","URY","Uruguay","Latin America and the Caribbean",9.4,5,0,1.4394,0,908.333333333333,0.261333333333333,NA,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,732,19,210.725,5.47,32225,9.277,"3","0","1","1","2","1","0",NA,"1","1","1","1","2","1","4","1","0","2","0","0","2","1","1","1","0","0",NA,"493","17","71.16","71.16","81.67","81.67"
"153","USA","United States","North America",27620.8,22719.6,1608,68.6388,4.8578,342931.75,0.8288,NA,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,1443397,87568,4360.681,264.554,10720185,32.387,"3","0","3","0","2","0","4","0","1","0","2","0","2","0","3","2","0","1","0","0","2","1","3","1","0","0",NA,"639664","30985","68.41","68.41","70","70"
"154","UZB","Uzbekistan","Asia and the Pacific",135.6,54.6,0.2,1.6312,0.006,NA,NA,NA,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,2691,11,80.402,0.329,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","2","0","2","0","0","2","1","1","2","0","0",NA,"1302","10","92.2","92.2","92.38","92.38"
"155","VEN","Venezuela","Latin America and the Caribbean",4.4,9,0,0.3166,0,NA,NA,NA,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,459,10,16.142,0.352,NA,NA,"3","1","3","1","2","1","3","1","0",NA,"2","1","2","1","4","0",NA,"2","0","0","2","1","1","0","0","0",NA,"227","10","84.26","84.26","82.86","82.86"
"156","VNM","Vietnam","Asia and the Pacific",2,5,0,0.0514,0,NA,NA,NA,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,313,0,3.216,0,NA,NA,"3","0","2","1","2","1","3","1","1","1","0","0","2","1","4","1","1","0","0","0","2","1","3","2","0","0",NA,"270","0","77.12","69.18","85.24","85.24"
"157","YEM","Yemen","West Asia",0,11,1.4,0.369,0.0472,NA,NA,NA,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,106,15,3.554,0.503,NA,NA,"3","1","0",NA,"2","1","0",NA,"0",NA,"0","1","0","0","4","0",NA,"0","0","0","1","1","0","0","0","0",NA,"1","0","40.47","40.47","59.05","59.05"
"158","ZAF","South Africa","Africa",100.6,701.8,10.6,11.833,0.1786,16372,0.27625,NA,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,13524,247,228.027,4.165,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","2","1","4","1","1","0","0","0","2","1","2","2","0","0",NA,"2506","58","91.4","91.4","92.38","92.38"
"159","ZMB","Zambia","Africa",1.6,80.2,0,4.3626,0,NA,NA,NA,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,668,7,36.336,0.381,NA,NA,"3","1","0","1","2","0","4","0","0",NA,"2","0","2","0","4","0",NA,"1","0","0","2","1","1","2","0","0",NA,"48","3","62.45","62.45","60.95","60.95"
"160","ZWE","Zimbabwe","Africa",2.4,1.2,0,0.0806,0,296.5,0.02,NA,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,42,4,2.826,0.269,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","2","1","4","1","1","0","0","0","2","1","0","1",NA,NA,NA,"34","4","91.4","82.27","92.38","92.38"
