"","world_region","country_name","C1_School.closing","C1_Flag","C2_Workplace.closing","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"61","Europe","Greenland",3,0,2,2,1,2,2,1,1,4,0,0,2,1,3,2,0,0
"62","Latin America and the Caribbean","Guatemala",3,1,3,2,1,4,2,2,2,4,1,2,2,1,2,2,0,0
"63","Asia and the Pacific","Guam",3,1,3,2,1,4,2,1,0,3,1,0,2,1,2,1,0,0
"65","Latin America and the Caribbean","Honduras",3,1,3,2,1,4,2,3,2,4,2,2,2,1,1,1,0,0
"66","Europe","Croatia",3,1,2,2,1,4,2,2,2,4,2,2,2,1,2,2,0,0
"67","Europe","Hungary",3,1,2,2,1,1,1,2,2,4,0,2,2,1,1,2,0,0
"68","Asia and the Pacific","Indonesia",3,1,2,2,0,4,1,2,1,4,0,0,2,1,1,2,0,0
"69","Asia and the Pacific","India",3,1,2,2,1,4,2,3,2,4,0,2,2,1,3,2,0,0
"70","Europe","Ireland",3,1,3,2,1,4,2,2,1,2,2,2,2,1,1,1,0,0
"71","Asia and the Pacific","Iran",3,1,2,2,1,1,2,1,2,0,1,1,1,1,0,0,0,0
"72","West Asia","Iraq",3,1,2,2,1,4,1,2,2,4,0,0,2,1,2,0,0,0
"73","Europe","Iceland",2,1,2,2,1,3,0,0,0,3,2,2,2,1,3,2,0,0
"74","Europe","Israel",3,1,2,2,1,4,1,2,2,4,1,2,2,1,1,2,0,0
"75","Europe","Italy",3,1,3,2,1,4,2,2,2,3,1,1,2,1,2,2,0,0
"76","Latin America and the Caribbean","Jamaica",3,1,1,2,1,4,1,2,2,3,1,1,2,1,1,1,0,0
"77","West Asia","Jordan",3,1,2,2,1,4,2,2,2,4,1,1,2,1,2,1,0,0
"78","Asia and the Pacific","Japan",3,0,1,1,1,0,0,1,1,3,1,0,2,1,1,1,0,0
"79","Asia and the Pacific","Kazakhstan",3,1,3,2,1,4,2,3,2,4,1,1,2,1,1,2,0,0
"80","Africa","Kenya",3,1,2,2,1,4,2,3,2,4,1,1,2,1,1,1,0,0
"81","Asia and the Pacific","Kyrgyzstan",3,1,2,2,1,4,2,3,2,4,1,1,2,1,1,1,0,0
"82","Asia and the Pacific","S. Korea",3,1,2,1,1,0,0,0,0,3,1,1,2,1,3,2,0,0
"83","West Asia","Kuwait",3,1,3,2,1,4,2,2,2,4,1,0,2,1,2,2,0,0
"85","West Asia","Lebanon",3,1,3,2,1,4,1,2,1,4,0,1,2,1,1,1,0,0
"87","Africa","Libya",2,0,3,2,1,4,2,3,2,4,0,0,2,1,1,1,0,0
"88","Asia and the Pacific","Sri Lanka",3,1,2,2,1,0,1,3,2,4,0,0,2,1,2,2,0,0
"90","Europe","Luxembourg",3,1,3,2,1,4,1,1,1,0,2,2,2,1,1,2,0,0
"91","Africa","Morocco",3,1,3,2,1,2,2,2,2,4,1,2,2,1,2,2,0,0
