"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_smoothed","new_tests_per_thousand","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"13","BEN","Benin","Africa",0.4,2.4,0,0.198,0,NA,NA,NA,NA,NA,NA,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,339,2,27.963,0.165,NA,NA,"3","1","0",NA,"2","1","4","0","1","0","0",NA,"2","0","2","0",NA,"0","0","0","2","1","2","2","0","0",NA,"54","2","58.74","58.74","62.86","62.86"
"14","BFA","Burkina Faso","Africa",10,4.6,0,0.2202,0,NA,NA,NA,NA,NA,62.04,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,796,51,38.08,2.44,NA,NA,"3","1","2","1","2","1","1","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"773","48","88.75","88.75","93.57","93.57"
"15","BGD","Bangladesh","Asia and the Pacific",268.2,1209.6,16,7.3448,0.0972,8343,1.0714,7557.6,0.046,NA,91.93,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,23870,349,144.94,2.119,193645,0.051,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","2","1","0","0",NA,"2144","84","91.93","91.93","90.71","90.71"
"16","BGR","Bulgaria","Europe",38.6,38,3.2,5.4688,0.4608,1019.8,9.3868,1203,0.1734,NA,NA,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,2259,112,325.109,16.119,66810,0.126,"3","1","1","1","2","1","4","1","0",NA,"2","0","2","1","3","2","0","2",NA,"0","2","1","1","0","0","0",NA,"878","43","75","75","72.86","72.86"
"17","BHR","Bahrain","West Asia",82.4,273.6,0.4,160.7916,0.235,7415.6,138.7876,7359.4,4.3252,NA,NA,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,7184,12,4221.951,7.052,248205,3.041,"3","1","2","1","2","1","4","1","1","1","2","1","1","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"1773","8","86.77","86.77","85.24","85.24"
"18","BIH","Bosnia and Herz.","Europe",45.2,24.4,2.4,7.4372,0.7314,NA,NA,NA,NA,NA,81.22,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,2303,132,701.96,40.234,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","0","3","2","0","1","0","0","2","1","2","0","0","0",NA,"1588","62","91.4","91.4","90.71","90.71"
"19","BLR","Belarus","Europe",372,949.4,5,100.4728,0.529,NA,37.094,12082.3333333333,1.27866666666667,NA,15.47,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,30572,171,3235.365,18.097,NA,NA,"0","1","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"3","0",NA,"0","0","0","1","1","3","2","0","0",NA,"4779","45","15.47","15.47","18.1","18.1"
"20","BLZ","Belize","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,NA,NA,87.04,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,18,2,45.269,5.03,NA,NA,"3","1","1","0","2","1","3","1","1","0","2","0","2","0","4","1","1","0","0","0","2","1","1","2","0","0",NA,"18","2","73.42","73.42","72.14","72.14"
"21","BMU","Bermuda","Latin America and the Caribbean",5.8,0.8,0.2,12.8466,3.2116,NA,NA,NA,NA,NA,80.15,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,125,9,2007.29,144.525,NA,NA,"3","1","2","1","1","1","4","1","1","1","1","1","1","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"118","5","80.15","80.15","84.05","84.05"
"22","BOL","Bolivia","Latin America and the Caribbean",33.2,223,6.4,19.104,0.5484,222.75,0.859,202.25,0.0175,NA,NA,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,4263,174,365.201,14.906,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","0","1","0","0",NA,"520","32","97.35","97.35","97.14","97.14"
