"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_smoothed","new_tests_per_thousand","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"52","EST","Estonia","Europe",36,6.6,0.6,4.9752,0.4524,838.5,52.76475,894.25,0.674,NA,NA,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,1784,64,1344.853,48.246,NA,NA,"3","1","3","1","2","1","4","0","0",NA,"2","1","0","1","2","0",NA,"2","0","0","2","1","2","0","0","0",NA,"1512","55","66.4","66.4","73.57","73.57"
"53","ETH","Ethiopia","Africa",6.2,17.8,0,0.1546,0,3271,0.5275,2996.6,0.0262,NA,NA,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,352,5,3.062,0.043,62300,0.028,"3","1","2","0","2","1","4","1","1","1","1","1","2","0","2","0",NA,"0","0","0","2","1","1","2","0","0",NA,"116","3","76.19","76.19","74.76","74.76"
"54","FIN","Finland","Europe",123.4,65.2,3.2,11.7674,0.5774,2888,26.9993333333333,3101,0.559666666666667,NA,NA,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,6380,300,1151.475,54.145,NA,NA,"2","1","2","1","2","1","2","1","1","0","1","1","1","1","4","1","1","0","0","0","2","1","1","1","0","0",NA,"3681","90","74.33","74.33","75.71","75.71"
"55","FRA","France","Europe",2749,433.8,233,6.6458,3.5696,NA,NA,NA,NA,NA,85.44,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,142903,28239,2189.295,432.626,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","2","1","2","0","0","2","1","1","1","0","0",NA,"111821","19323","93.38","93.38","92.38","92.38"
"56","GAB","Gabon","Africa",10.4,85.6,0.4,38.4594,0.1796,NA,NA,NA,NA,NA,86.24,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,1432,11,643.385,4.942,NA,NA,"3","1","3","0","2","1","4","1","1","1","3","1","2","1","4","0",NA,"2","0","0","1","1","3","2","0","0",NA,"109","3","88.89","88.89","84.05","84.05"
"57","GBR","United Kingdom","Europe",5119.2,3340.2,322,49.2032,4.7434,73055,26.18825,67818.75,0.99875,NA,NA,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,246406,34796,3629.703,512.565,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","0","2","1","2","0","0","2","1","1","0","0","0",NA,"114217","17994","79.63","79.63","77.38","77.38"
"58","GEO","Georgia","Europe",23.2,11,0.2,2.7576,0.0502,NA,NA,NA,NA,NA,94.18,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,702,12,175.976,3.008,NA,NA,"3","1","2","1","2","1","4","1","2","1","3","1","2","0","4","1","0","1","0","0","2","1","2","2","0","0",NA,"582","6","94.18","94.18","93.57","93.57"
"59","GHA","Ghana","Africa",53.6,65.4,1,2.1048,0.0322,1454,5.675,2711.66666666667,0.087,NA,66.53,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,5735,29,184.566,0.933,NA,NA,"3","1","1","1","2","1","3","1","1","1","0",NA,"0",NA,"4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"1042","18","66.53","66.53","70.95","70.95"
"60","GMB","Gambia","Africa",0,0.2,0,0.0828,0,NA,NA,NA,NA,NA,84.78,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,24,1,9.931,0.414,NA,NA,"3","1","3","1","2","1","3","1","1","1","1","1","1","1","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"10","1","84.78","84.78","87.62","87.62"
"61","GRC","Greece","Europe",12.4,15.2,2,1.4582,0.192,4789,12.328,4199.8,0.403,NA,74.34,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,2836,165,272.089,15.83,136001,0.414,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","3","1","1","1","0","0","2","1","2","0","0","0",NA,"2506","130","87.96","87.96","85.95","85.95"
"62","GRL","Greenland","Europe",0,0,0,0,0,NA,NA,NA,NA,NA,80.95,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,11,0,193.757,0,NA,NA,"3","0","2","1","2","1","2","1","2","1","1","1","1","1","4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"11","0","80.95","80.95","85.24","85.24"
"63","GTM","Guatemala","Latin America and the Caribbean",18,131.8,1.8,7.3568,0.1004,NA,NA,NA,NA,NA,97.35,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,2001,38,111.691,2.121,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"257","16","97.35","97.35","97.14","97.14"
"64","GUM","Guam","Asia and the Pacific",0.4,0.4,0,2.37,0,NA,NA,NA,NA,NA,NA,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,154,5,912.414,29.624,NA,NA,"3","1","3","1","2","1","4","1","2","0","1","1","0",NA,"3","1","0","0","0","0","2","1","2","1","0","0",NA,"151","5","77.65","77.65","82.38","82.38"
"65","GUY","Guyana","Latin America and the Caribbean",3.2,2.2,0,2.797,0,NA,NA,NA,NA,NA,82.27,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,124,10,157.649,12.714,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","0",NA,"1","0","0","2","1","1","2",NA,"0",NA,"82","10","93.38","93.38","92.38","92.38"
"66","HND","Honduras","Latin America and the Caribbean",13,108.6,4.6,10.9646,0.4646,NA,NA,NA,NA,NA,100,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,2798,146,282.495,14.741,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"519","46","100","100","97.14","97.14"
"67","HRV","Croatia","Europe",36.4,3,0.2,0.7308,0.0488,1092,13.0802,1213,0.2954,NA,66.53,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,2228,95,542.717,23.141,55800,0.239,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"1832","47","91.54","91.54","88.81","88.81"
"68","HUN","Hungary","Europe",80.8,35.2,6.2,3.6438,0.642,3087.8,13.8658,3779.6,0.3916,NA,59.53,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,3556,467,368.103,48.342,138697,0.151,"3","1","2","0","2","1","1","1","1","0","2","1","2","1","4","0",NA,"2","0","0","2","1","1","2","0","0",NA,"1916","225","78.44","78.44","80.48","80.48"
"69","IDN","Indonesia","Asia and the Pacific",338.2,514.4,32.6,1.8806,0.1194,3997.2,0.5112,3928.6,0.0144,NA,70.91,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,18010,1191,65.844,4.354,147799,0.017,"3","1","2","0","2","0","4","0","1","0","2","0","1","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"6248","535","70.91","70.91","72.86","72.86"
"70","IND","India","Asia and the Pacific",1069.8,4627.2,122.8,3.3532,0.089,88937.75,1.577,87890.5,0.0635,NA,77.738,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,101139,3163,73.289,2.292,NA,NA,"3","1","2","0","2","1","4","0","2","0","2","0","2","0","4","1","1","2","0","0","2","1","3","2","0","0",NA,"15712","507","97.35","97.35","93.57","93.57"
"71","IRL","Ireland","Europe",822.2,159.8,10,32.3626,2.0252,NA,59.87,5554.8,1.125,NA,NA,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,24200,1547,4900.972,313.298,295626,NA,"3","1","3","1","2","1","4","1","2","1","2","1","1","1","2","2","1","2","0","0","2","1","1","1","0","0",NA,"14758","1265","87.83","87.83","87.86","87.86"
"72","IRN","Iran","Asia and the Pacific",1513,1953.4,54.8,23.2568,0.6522,14480.8,8.1818,14316.6,0.1704,NA,58.34,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,122492,7057,1458.36,84.019,716176,0.173,"3","1","2","0","2","1","1","1","2","0","1","1","2","0","0","1","0","1","0","0","1","1","0","0","0","0",NA,"80868","5031","61.51","61.51","64.29","64.29"
"73","IRQ","Iraq","West Asia",20.8,104.4,2.4,2.5956,0.0596,NA,NA,NA,NA,NA,80.42,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,3554,127,88.358,3.157,NA,NA,"3","1","2","0","2","1","4","1","1","1","2","1","2","1","4","0",NA,"0","0","0","2","1","2","0","0","0",NA,"1602","83","87.57","87.57","85.24","80.48"
"74","ISL","Iceland","Europe",9.8,0,0,0,0,242,166.683,400.75,1.174,NA,NA,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,1802,10,5280.586,29.304,NA,NA,"2","1","2","1","2","1","3","1","0",NA,"0",NA,"0",NA,"3","2","1","2","0","0","2","1","3","2","0","0",NA,"1801","10","56.61","56.61","58.57","58.57"
"75","ISR","Israel","Europe",335.8,14.6,1.6,1.6868,0.185,3847.66666666667,57.254,6550.66666666667,0.756666666666667,NA,NA,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,16621,272,1920.273,31.425,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","0","4","1","1","2","0","0","2","1","1","2","0","0",NA,"13265","199","90.21","82.93","88.81","81.67"
"76","ITA","Italy","Europe",3281.8,756.4,180.2,12.5104,2.9804,59404,49.5234,61882.2,1.0232,NA,68.78,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,225886,32007,3736.01,529.375,3104524,1.045,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","3","1","1","1","0","0","2","1","2","2","0","0",NA,"175925","23227","94.58","94.58","94.29","94.29"
"77","JAM","Jamaica","Latin America and the Caribbean",20,2.2,0,0.7428,0,NA,NA,NA,NA,NA,74.2,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,520,9,175.607,3.039,NA,NA,"3","1","1","1","2","1","4","1","1","1","2","1","2","1","3","1","1","1","0","0","2","1","1","1","0","0",NA,"252","9","74.2","74.2","78.81","78.81"
"78","JOR","Jordan","West Asia",4.4,9.4,0,0.9212,0,NA,NA,NA,NA,NA,72.48,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,629,9,61.648,0.882,NA,NA,"3","1","2","0","2","1","4","1","2","1","2","1","2","1","4","1","0","1","0","0","2","1","2","1","0","0",NA,"425","9","88.36","72.48","85.24","85.24"
"79","JPN","Japan","Asia and the Pacific",543.2,57.2,15.2,0.4522,0.1204,NA,1.9316,4326,0.0342,NA,NA,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,16365,763,129.392,6.033,255675,NA,"3","0","1","1","1","1","0",NA,"0",NA,"1","1","1","1","3","1","1","0","0","0","2","1","1","1","0","0",NA,"10361","186","53.3","53.3","59.76","59.76"
"80","KAZ","Kazakhstan","Asia and the Pacific",95,236,0.6,12.5688,0.032,18665.2,27.797,17837.2,0.95,NA,NA,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,6751,35,359.541,1.864,553062,0.658,"3","1","3","0","2","1","4","0","2","0","3","0","2","0","4","1","0","1","0","0","2","1","1","2","0","0",NA,"5571","25","84.14","84.14","85.24","85.24"
"81","KEN","Kenya","Africa",10.8,35,2,0.651,0.0372,1724,0.81075,1608.8,0.0298,NA,NA,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,912,50,16.961,0.93,46784,0.036,"3","1","2","1","2","1","4","1","2","0","3","0","2","1","4","1","1","1","0","0","2","1","1","1","0","0",NA,"281","14","94.18","94.18","88.81","88.81"
"82","KGZ","Kyrgyzstan","Asia and the Pacific",24.8,32.2,0.4,4.9356,0.0614,NA,NA,NA,NA,NA,78.85,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,1243,14,190.522,2.146,NA,NA,"3","1","2","0","2","1","4","0","2","0","3","0","2","1","4","1","1","1","0","0","2","1","1","1","0","0",NA,"746","8","87.31","87.31","88.81","88.81"
"83","KOR","S. Korea","Asia and the Pacific",19.4,17.4,0.6,0.3398,0.0118,10818,14.5654,11590.6,0.226,NA,NA,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,11078,263,216.075,5.13,765574,0.241,"3","1","2","1","1","1","0","1","0",NA,"0","1","0","1","3","1","1","1","0","0","2","1","3","2","0","0",NA,"10661","256","46.16","46.16","57.38","57.38"
"84","KWT","Kuwait","West Asia",90.4,932.6,7.2,218.379,1.686,NA,NA,NA,NA,NA,100,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,15691,118,3674.223,27.631,NA,NA,"3","1","3","0","2","1","4","1","2","1","2","1","2","0","4","1","0","0","0","0","2","1","2","2","0","0",NA,"1752","40","91.01","91.01","90","90"
"85","LAO","Laos","Asia and the Pacific",0,0,0,0,0,NA,NA,NA,NA,NA,NA,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,19,0,2.611,0,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","0","0","0","0","2","1","1","2","0","0",NA,"19","0","97.35","97.35","97.14","97.14"
"86","LBN","Lebanon","West Asia",8,10.6,0,1.5532,0,NA,NA,NA,NA,NA,NA,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,931,26,136.401,3.809,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","1","1","4","0",NA,"1","0","0","2","1","1","1","0","0",NA,"677","26","89.41","89.41","88.81","88.81"
"87","LBR","Liberia","Africa",4.4,3.2,0.4,0.6326,0.0792,NA,NA,NA,NA,NA,NA,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,229,22,45.278,4.35,NA,NA,"3","1","3","1","2","1","4","1","0",NA,"2","1","2","0","3","0",NA,"0","0","0","2","1","1","2",NA,NA,NA,"101","20","80.29","80.29","76.43","76.43"
"88","LBY","Libya","Africa",4.6,0.2,0,0.0292,0,NA,NA,NA,NA,NA,NA,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,65,3,9.46,0.437,NA,NA,"2","0","3","0","2","1","4","1","2","1","3","1","2","1","4","0",NA,"0",NA,"0","2","1","1","1","0","0",NA,"64","3","79.9","79.9","72.14","72.14"
"89","LKA","Sri Lanka","Asia and the Pacific",7.2,15.4,0,0.7194,0,NA,NA,NA,NA,NA,NA,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,992,9,46.326,0.42,NA,NA,"3","1","2","1","2","1","0","1","1","1","3","1","2","1","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"254","7","82.27","82.27","88.81","88.81"
"90","LTU","Lithuania","Europe",45.6,8.4,1,3.0856,0.3672,6824.33333333333,83.25825,6411.2,2.3552,NA,NA,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,1547,59,568.271,21.673,237600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1410","46",NA,NA,NA,NA
"91","LUX","Luxembourg","Europe",49,8.6,0.8,13.7388,1.2782,856.8,98.2968,939.2,1.5004,NA,65.73,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,3947,107,6305.354,170.933,63011,1.2,"3","1","3","1","2","1","4","1","1","1","1","1","1","1","0","2","1","2","0","0","2","1","1","2","0","0",NA,"3537","96","75.66","75.66","76.19","76.19"
"92","MAR","Morocco","Africa",184.4,88,0.8,2.3842,0.0216,4403.5,2.38475,3367,0.09125,NA,93.38,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,6952,192,188.347,5.202,NA,NA,"3","1","3","1","2","1","2","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"2685","188","93.38","93.38","97.14","97.14"
"93","MDA","Moldova","Europe",127.8,146.4,6,36.292,1.4876,NA,NA,NA,NA,NA,84.92,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,6138,215,1521.581,53.297,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","2","0","4","1","0","1","0","0","1","1","2","2","0","0",NA,"2351","60","84.92","84.92","84.05","84.05"
"94","MDG","Madagascar","Africa",2.2,22,0.2,0.7944,0.0072,NA,NA,NA,NA,NA,64.43,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,322,1,11.628,0.036,NA,NA,"0","0","1","0","2","1","3","1","1","0","1","1","2","0","4","0","1","0","0","0","2","1","1","1","0","0",NA,"121","0","62.83","62.83","57.86","57.86"
"95","MEX","Mexico","Latin America and the Caribbean",496.6,2289.4,222.4,17.7566,1.7248,1337.33333333333,1.162,3437.66666666667,0.027,NA,85.45,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,51633,5332,400.465,41.355,NA,NA,"3","1","3","1","2","1","3","1","1","0","2","1","2","1","3","0",NA,"0","0","0","2","1","1","1","0","0",NA,"7497","650","85.45","85.45","84.76","84.76"
"96","MLI","Mali","Africa",18.6,23.2,1.6,1.1456,0.0792,NA,NA,NA,NA,NA,NA,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,874,52,43.159,2.568,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"1","1","2","1","3","1","1","1","0","0","2","1","0","2","0","0",NA,"216","14","76.19","76.19","76.43","76.43"
"97","MMR","Myanmar","Asia and the Pacific",9,2,0,0.0368,0,522,0.2635,421.6,0.0076,NA,NA,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,191,6,3.51,0.11,15137,NA,"3","1","3","1","2","1","4","1","2","0","2","0","2","0","3","0",NA,"0",NA,"0","2","1","2","1","0","0",NA,"146","6","85.06","85.06","84.76","84.76"
"98","MNG","Mongolia","Asia and the Pacific",3,15.8,0,4.8196,0,NA,NA,NA,NA,NA,NA,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,140,0,42.705,0,NA,NA,"3","1","2","1","2","1","4","1","1","0","0","0","0","0","4","0",NA,"2","0","0","2","1","1","2","0","0",NA,"38","0","67.99","67.99","69.76","69.76"
"99","MOZ","Mozambique","Africa",1.6,7.6,0,0.2432,0,NA,NA,NA,NA,NA,NA,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,145,0,4.639,0,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"1","1","0",NA,"2","0",NA,"0","0","0","2","1","1","2","0","0",NA,"76","0","53.83","53.83","55.71","55.71"
"100","MRT","Mauritania","Africa",0,14.4,0.4,3.0968,0.086,NA,NA,NA,NA,NA,80.95,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,81,4,17.421,0.86,NA,NA,"3","1","1","1","2","1","4","1","0",NA,"2","1","2","1","4","1","1","1","0","0","2","1","0","2","0","0",NA,"8","1","80.95","80.95","75.71","75.71"
"101","MUS","Mauritius","Africa",0.2,0,0,0,0,NA,NA,NA,NA,NA,76.32,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,332,10,261.054,7.863,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","1","1","4","1","1","1","0","0","2","1","1","1","0","0",NA,"332","10","87.43","87.43","88.81","88.81"
"102","MWI","Malawi","Africa",0.2,1.4,0,0.0732,0,NA,NA,NA,NA,NA,59.26,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,70,3,3.659,0.157,NA,NA,"3","1","0","0","2","1","3","1","0",NA,"1","1","0",NA,"3","2","1","2","0","0","2","1","1","2","0","0",NA,"17","3","56.61","56.61","58.57","58.57"
"103","MYS","Malaysia","Asia and the Pacific",97.6,32.4,0.4,1.001,0.0124,9127,13.554,25384,0.784,NA,NA,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,6941,113,214.453,3.491,NA,NA,"3","1","3","1","2","1","2","1","0",NA,"1","1","2","1","3","1","1","2","0","0","2","1","3","2","0","0",NA,"5305","107","76.85","76.85","80","80"
"104","NAM","Namibia","Africa",0,0,0,0,0,NA,NA,NA,NA,NA,61.24,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,16,0,6.297,0,NA,NA,"3","1","1","1","2","1","3","1","0",NA,"2","0","2","1","4","2","1","1","0","0","2","1","1","2","0","0",NA,"712","7","75.79","75.79","75.71","75.71"
"105","NER","Niger","Africa",18.2,9.8,1.2,0.405,0.0494,NA,NA,NA,NA,NA,33.33,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,909,55,37.552,2.272,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"0","1","2","0","4","0",NA,"1","0","0","2","1","1","1","0","0",NA,"655","20","61.51","61.51","63.81","63.81"
"106","NGA","Nigeria","Africa",39.8,240.8,5.4,1.1684,0.0262,1319,0.16875,1163.4,0.006,NA,76.59,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,6175,191,29.955,0.927,36899,0.008,"3","0","3","0","2","0","4","0","2","0","2","0","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"542","40","76.59","76.59","80.48","80.48"
"107","NIC","Nicaragua","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,NA,NA,11.11,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,25,8,3.774,1.208,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2","0",NA,"0","0","0","2","1","1","0","0","0",NA,"16","5","16.67","16.67","20","20"
"108","NLD","Netherlands","Europe",1007.6,186,26.4,10.855,1.5408,2774,17.567,4491.75,0.26225,NA,NA,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,44141,5694,2576.091,332.305,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"31589","3601","84.65","84.65","85.95","85.95"
"109","NOR","Norway","Europe",99.2,18.2,0.8,3.3572,0.1474,2820,40.235,2462.2,0.454,NA,NA,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,8249,233,1521.607,42.979,219984,0.359,"2","1","2","1","2","1","2","1","1","1","0",NA,"1","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"7759","193","71.69","71.69","80.48","80.48"
"110","NPL","Nepal","Asia and the Pacific",3.4,31.2,0.4,1.071,0.0136,2015,0.9395,1535,0.0525,NA,NA,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,375,2,12.87,0.069,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","3","1","1","2","0",NA,"2","1","1","2","0","0",NA,"31","0","95.24","95.24","94.29","94.29"
"111","NZL","New Zealand","Asia and the Pacific",5.2,1.2,0,0.2486,0,4264,47.522,5428.75,1.12575,NA,38.49,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,1153,21,239.101,4.355,NA,NA,"2","1","2","1","2","1","4","1","1","1","2","1","2","1","4","2","0","1","0","0","2","1","2","2","0","0",NA,"1147","21","88.09","88.09","85.24","85.24"
"112","OMN","Oman","West Asia",73.4,272,1.8,53.264,0.3526,NA,NA,NA,NA,NA,NA,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,5379,26,1053.338,5.091,NA,NA,"3","1","2","0","2","1","4","1","2","1","2","0","2","0","4","2","0","0","0","0","2","1","2","2","0","0",NA,"1508","10","85.19","85.19","85.24","85.24"
"113","PAK","Pakistan","Asia and the Pacific",455.4,1635.6,33.8,7.4044,0.153,13908.4,1.6882,12949.2,0.0586,NA,94.71,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,43966,939,199.038,4.251,400292,0.059,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","2","2","0","0",NA,"9749","209","94.71","94.71","93.57","93.57"
"114","PAN","Panama","Latin America and the Caribbean",160.2,156.4,4.6,36.2476,1.0662,1051.75,11.491,1071.5,0.24825,NA,NA,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,9726,279,2254.119,64.662,NA,NA,"2","1","3","1","2","1","4","1","0",NA,"2","1","2","1","4","0","0","0","0","0","2","1","2","1","0","0",NA,"4273","120","83.6","83.6","79.29","79.29"
