Sample.id,Species,AMF,Cd.leaf,Pb.leaf,Zn.leaf,Cd.soil,Pb.soil,Zn.soil
MP112x,MP,0.016666667,68.69781489,5.64043347,4415.819861,873.2811669,4775.364659,72135.00912
MP114x,MP,NA,NA,NA,NA,342.498897,2220.122967,23195.84988
MP115x,MP,0,96.92955335,13.46502627,9685.485461,235.5906104,1459.873946,16917.67086
MP117x,MP,0,81.11499018,6.191359372,9409.320678,263.0599116,1658.639417,22727.65985
MP118x,MP,0,64.07950033,8.004294709,6959.333884,401.1390821,2354.123882,31964.67373
MP121x,MP,0,78.68647241,8.927673272,10985.06187,451.3604309,1328.958657,37710.24689
MP122x,MP,0,74.86719704,13.5063776,9433.648949,361.4379085,2018.431373,30260.09804
MP123x,MP,0,63.17134517,5.468831124,7157.921152,1639.670516,7814.949027,127433.8558
MP124x,MP,0,78.96976608,7.804843153,5423.712616,353.3183753,2268.450597,23656.59825
MP125x,MP,0,51.07047681,7.731471478,5851.981147,438.7497174,3150.212696,23942.4796
MP126x,MP,NA,NA,NA,NA,341.9315811,2217.588344,26380.82421
MP128x,MP,0.014705882,62.04452645,3.647364243,11943.96468,203.3894973,1108.467845,16619.44832
MP130x,MP,NA,9.772425281,7.075962456,3169.77925,NA,NA,NA
MP131x,MP,0.0125,18.63719409,6.289186773,4029.525572,625.9957879,2420.886366,79445.05998
MP132x,MP,0,28.7721011,6.020175724,6785.126731,151.9150625,822.633459,14848.97797
MP133x,MP,NA,NA,NA,NA,49.25303019,234.3341671,5642.915142
MP136x,MP,0.022222222,27.18614185,8.098819468,4453.140893,604.3258256,4168.052092,52639.48264
Y53x,AP,0,4.37550831,4.921609246,443.7604111,14.3592741,254.6092184,1453.76169
Y54x,AP,0.103896104,9.889714697,32.06665068,870.045153,110.8820569,2135.684836,4652.091517
Y57A,AP,0,5.641253283,6.935967151,453.2654533,24.81984874,1119.934361,2058.575913
Y57B,AP,0.025,9.874909117,12.27338869,426.1929256,27.05711819,311.0355268,1518.186428
Y58A,AP,0,10.20186335,36.87888199,1115.271739,139.7341728,1511.629941,5160.67681
Y58B,AP,0.0375,9.125805457,6.451769976,622.3219068,49.70059555,1084.238067,2764.255673
Y59A,AP,NA,5.409110428,12.82083044,469.8493707,NA,NA,NA
Y59B,AP,0,4.494661479,1.931993818,884.0470607,NA,NA,NA
Y60A,AP,0.010638298,6.588995069,4.385390758,346.3804163,73.27170868,1460.134454,3097.516807
Y60B,AP,0,7.046467693,10.13439775,660.3010651,51.05438402,1617.369589,3396.920089
Y61A,AP,0,NA,NA,NA,NA,NA,NA
Y61B,AP,0,19.95878858,13.68602645,1117.200978,54.70508407,1673.556865,3434.132133
Y62A,AP,0.016666667,13.22205823,40.85995833,493.8194565,69.36636707,684.5608779,2566.478439
Y62B,AP,0.045454545,6.336040551,15.9841023,478.0110593,39.44014224,1176.930369,2610.295299
Y63A,AP,0,11.62349369,12.38257899,476.658127,89.22064548,848.2652091,2662.148628
Y63B,AP,0,9.779081821,5.913744224,213.3872932,67.03897178,1348.372247,2951.59312
Y65A,AP,0,5.824414634,32.29550313,654.7525258,47.46565042,1886.595119,4159.447843
Y65B,AP,0.033898305,7.57287706,24.32509506,793.9923954,84.08068171,959.8187215,6224.647337
Y67A,AP,0.010752688,7.744689581,52.17308967,391.0792065,24.68097041,1728.439209,2754.131859
Y67B,AP,0,19.09589004,28.29045677,470.7352288,67.09037186,1999.188828,3585.072755
Y68A,AP,0,15.67525752,47.02577257,1642.237694,242.7376641,1278.320663,8713.208424
Y68B,AP,0,4.188306249,23.24509968,986.3461216,46.40426759,274.8096886,2636.479239
Y69A,AP,NA,12.82628741,30.76981262,2409.390807,NA,NA,NA
Y69B,AP,0.14516129,7.732568805,22.76721521,1632.194085,213.6556245,1214.359962,12637.42247
Y70A,AP,0,5.797406978,15.02055444,812.1640139,75.14040512,481.9918597,7633.735881
Y70B,AP,0.117647059,5.485463522,22.59325288,1531.721407,95.13791491,645.185753,7812.595812
Y72A,AP,0.08,8.89470681,16.36290404,1095.936965,40.17363228,199.0674885,7808.276321
Y72B,AP,0.15,NA,NA,NA,21.24206871,240.7136946,4963.682391
Y73A,AP,0,5.436731135,23.01397019,1542.683907,5.544292392,86.13786113,2492.097483
Y73B,AP,0.010309278,5.895439377,16.24026696,1930.756396,NA,NA,NA
Y74A,AP,0,8.172209332,25.92807425,2290.951276,198.4376689,1113.825819,24124.35939
Y74B,AP,0.021052632,9.198371693,31.80288085,1875.78284,123.0530053,772.0618526,15419.06485
Y75B,AP,0,23.72627373,68.26506827,3244.671995,NA,NA,NA
Y76A,AP,0,11.60897987,18.82959606,2735.174623,100.8852357,576.4702098,12663.2351
Y76B,AP,0.020833333,6.527736723,19.34673367,1304.234407,181.1430324,747.418741,20673.46684
Y77B,AP,NA,14.6170018,41.88663771,2427.384776,NA,NA,NA
Y78A,AP,0.021276596,12.02782564,37.80636914,2180.20897,215.8544272,1085.56713,14977.7975
Y78B,AP,0,12.27977846,38.71889332,2026.351402,211.8938955,1333.929362,17031.24894
